code,activity,example
080601,Activities rel. to purchasing/selling real estate,talking to/with a real estate agent
080601,Activities rel. to purchasing/selling real estate,signing a housing contract
080602,Waiting associated w/purchasing/selling real estate,waiting for a real estate agent
080701,Using veterinary services,purchasing medicine for a pet
080701,Using veterinary services,talking to/with vet assistant/vet tech.
080701,Using veterinary services,paying for veterinary services
080701,Using veterinary services,paying for pet health insurance
080701,Using veterinary services,talking to/with vet
080702,Waiting associated with veterinary services,waiting for the vet
080801,Security procedures rel. to professional/personal svcs.,opening bags for security search (professional svcs)
080801,Security procedures rel. to professional/personal svcs.,passing through metal detector (professional svcs)
080801,Security procedures rel. to professional/personal svcs.,being searched at security checkpoint (professional svcs)
089999,Professional and personal services,sitting for photos at a portrait studio
089999,Professional and personal services,having a family portrait made
089999,Professional and personal services,meeting with a wedding planner
090101,Using interior cleaning services,hiring a cleaning service or maid
090101,Using interior cleaning services,talking to/meeting with the maid/maid service
090101,Using interior cleaning services,hiring a butler
090101,Using interior cleaning services,hiring carpet cleaners
090101,Using interior cleaning services,paying a cleaning service
090102,Using meal preparation services,hiring a caterer
090102,Using meal preparation services,meeting a caterer
090102,Using meal preparation services,hiring wait staff/bartender for a party
090102,Using meal preparation services,tipping the wait staff or bartender
090102,Using meal preparation services,hiring a personal chef
090102,Using meal preparation services,talking to/meeting with caterer
090102,Using meal preparation services,paying the caterer
090102,Using meal preparation services,talking to/meeting with reception planner
090102,Using meal preparation services,paying the wait staff
090103,Using clothing repair and cleaning services,dropping off clothes at the dry cleaners
090103,Using clothing repair and cleaning services,having a suit tailored
090103,Using clothing repair and cleaning services,having a garment altered
090103,Using clothing repair and cleaning services,having a dress hemmed
090103,Using clothing repair and cleaning services,having shirts laundered
090103,Using clothing repair and cleaning services,paying the drycleaner
090103,Using clothing repair and cleaning services,picking up clothing at the dry cleaners
090103,Using clothing repair and cleaning services,paying the tailor
090104,Waiting associated with using household services,waiting for the cleaning service
090104,Waiting associated with using household services,waiting for meal preparation services
090104,Waiting associated with using household services,watching paid cook prepare a meal
090201,Using home maint/repair/décor/construction svcs,hiring an electrician or plumber
090201,Using home maint/repair/décor/construction svcs,hiring someone to clean house siding
090201,Using home maint/repair/décor/construction svcs,hiring/meeting w/interior designer
090201,Using home maint/repair/décor/construction svcs,hiring/meeting w/interior decorator
090201,Using home maint/repair/décor/construction svcs,hiring a prof. home remodeling svc.
090201,Using home maint/repair/décor/construction svcs,hiring someone to repair house siding
090201,Using home maint/repair/décor/construction svcs,hiring a contractor
090201,Using home maint/repair/décor/construction svcs,meeting with a contractor
090201,Using home maint/repair/décor/construction svcs,hiring/meeting with an architect
090201,Using home maint/repair/décor/construction svcs,talking to/with electrician or plumber
090201,Using home maint/repair/décor/construction svcs,paying to have your roof repaired
090201,Using home maint/repair/décor/construction svcs,talking to/with the interior designer
090201,Using home maint/repair/décor/construction svcs,hiring someone to build an addition
090201,Using home maint/repair/décor/construction svcs,talking to/with the contractor
090201,Using home maint/repair/décor/construction svcs,hiring appliance repairer
090201,Using home maint/repair/décor/construction svcs,talking to/with computer technician
090201,Using home maint/repair/décor/construction svcs,hiring someone to fix your computer
090201,Using home maint/repair/décor/construction svcs,hiring movers
090201,Using home maint/repair/décor/construction svcs,paying a contractor
090201,Using home maint/repair/décor/construction svcs,talking to/meeting with movers
090201,Using home maint/repair/décor/construction svcs,paying a plumber or electrician
090201,Using home maint/repair/décor/construction svcs,paying a decorator
090201,Using home maint/repair/décor/construction svcs,hiring window washers
090201,Using home maint/repair/décor/construction svcs,hiring driveway pavers
090201,Using home maint/repair/décor/construction svcs,hiring deck cleaners/refinishers
090202,Waiting associated w/ home main/repair/décor/constr,waiting for architect
090202,Waiting associated w/ home main/repair/décor/constr,waiting while repairs are made
090202,Waiting associated w/ home main/repair/décor/constr,watching repair person
090202,Waiting associated w/ home main/repair/décor/constr,watching movers
090202,Waiting associated w/ home main/repair/décor/constr,waiting for cleaners to finish
090301,Using pet services,attending animal obedience classes
090301,Using pet services,hiring a pet trainer
090301,Using pet services,hiring a pet sitter/walker
090301,Using pet services,meeting with pet trainer
090301,Using pet services,paying the pet sitter/walker
090301,Using pet services,meeting with kennel caretakers
090301,Using pet services,talking to/with animal trainer
090301,Using pet services,talking to/with animal caretaker
090301,Using pet services,talking to/with the groomer
090301,Using pet services,paying the pet groomer
090301,Using pet services,talking to/with the pet sitter
090301,Using pet services,paying the animal trainer
090302,Waiting associated with pet services,waiting for pet services
090302,Waiting associated with pet services,watching pet groomer
090302,Waiting associated with pet services,watching pet trainer
090401,Using lawn and garden services,hiring a landscaper
090401,Using lawn and garden services,talking to person who cuts your grass
090401,Using lawn and garden services,hiring someone to water houseplants
090401,Using lawn and garden services,hiring someone to water lawn/flowers
090401,Using lawn and garden services,hiring someone to cut grass
090401,Using lawn and garden services,hiring someone to shovel snow
090401,Using lawn and garden services,meeting with landscaper
090401,Using lawn and garden services,hiring someone to rake leaves
090401,Using lawn and garden services,talking to/with a plant-sitter
090401,Using lawn and garden services,paying the landscaper
090401,Using lawn and garden services,talking to/with the landscaper
090402,Waiting associated with using lawn & garden services,waiting for landscaper
090402,Waiting associated with using lawn & garden services,watching landscaper
090501,Using vehicle maintenance or repair services,paying for a tune-up/oil change
090501,Using vehicle maintenance or repair services,talking to/with mechanic
090501,Using vehicle maintenance or repair services,paying for a car wash
090501,Using vehicle maintenance or repair services,talking to/with auto body repair person
090501,Using vehicle maintenance or repair services,paying for repair work done on car
090501,Using vehicle maintenance or repair services,paying a mechanic
090501,Using vehicle maintenance or repair services,talking to/with service person
090502,Waiting associated with vehicle main. or repair svcs,waiting while car is repaired
090502,Waiting associated with vehicle main. or repair svcs,watching car being washed
090502,Waiting associated with vehicle main. or repair svcs,waiting while car is washed
099999,Using household services,talking to telephone repairperson
099999,Using household services,using butchering services
100101,Using police and fire services,obtaining police or fire services
100101,Using police and fire services,helping the police with something
100101,Using police and fire services,being questioned by police
100101,Using police and fire services,talking to police officer
100101,Using police and fire services,being stopped for traffic violation
100101,Using police and fire services,meeting with detective
100102,Using social services,applying for social services
100102,Using social services,collecting social security/workers comp
100102,Using social services,filling out forms to receive compensation
100102,Using social services,applying for relief services
100102,Using social services,applying for unemployment benefits
100102,Using social services,filling out forms to receive benefits
100102,Using social services,"applying for welfare, food stamps,  etc"
100102,Using social services,talking to a social services worker
100102,Using social services,collecting unemployment benefits
100102,Using social services,meeting social worker
100103,"Obtaining licenses & paying fines, fees, taxes",getting driver's license or tags
100103,"Obtaining licenses & paying fines, fees, taxes",paying for a pet or sporting license
100103,"Obtaining licenses & paying fines, fees, taxes",getting car inspected
100103,"Obtaining licenses & paying fines, fees, taxes",paying for a marriage license
100103,"Obtaining licenses & paying fines, fees, taxes",obtaining boat licensing
100103,"Obtaining licenses & paying fines, fees, taxes",paying overdue library book fines
100103,"Obtaining licenses & paying fines, fees, taxes",obtaining parking permits
100103,"Obtaining licenses & paying fines, fees, taxes",paying parking/speeding ticket
100103,"Obtaining licenses & paying fines, fees, taxes",getting a passport
100103,"Obtaining licenses & paying fines, fees, taxes",getting fishing/crabbing license
100103,"Obtaining licenses & paying fines, fees, taxes",taking a driving exam
100103,"Obtaining licenses & paying fines, fees, taxes",paying property taxes at gov't. office
100103,"Obtaining licenses & paying fines, fees, taxes",taking a pilot's exam
100103,"Obtaining licenses & paying fines, fees, taxes",talking to a motor vehicle admin. clerk
100103,"Obtaining licenses & paying fines, fees, taxes",getting a pet or sporting license
100103,"Obtaining licenses & paying fines, fees, taxes",getting a marriage license
100201,Civic obligations & participation,serving on jury duty
100201,Civic obligations & participation,meeting w/congressperson
100201,Civic obligations & participation,making a court appearance
100201,Civic obligations & participation,acting as a witness in court
100201,Civic obligations & participation,participating in naturalization ceremony
100201,Civic obligations & participation,talking to a parole officer or judge
100201,Civic obligations & participation,meeting with a parole officer
100201,Civic obligations & participation,talking to immigration/naturalization agent
100201,Civic obligations & participation,"interviewing with INS, IRS, etc."
100201,Civic obligations & participation,doing court-ordered community service
100201,Civic obligations & participation,voting
100201,Civic obligations & participation,meeting w/State/local govt rep.
100201,Civic obligations & participation,participating in government surveys
100201,Civic obligations & participation,attending zoning hearings
100201,Civic obligations & participation,attending a Congressional session
100201,Civic obligations & participation,talking to a political representative
100201,Civic obligations & participation,attending a town hall meeting
100401,Security procedures rel. to govt svcs/civic obligations,opening bags for security search (govt svcs)
100401,Security procedures rel. to govt svcs/civic obligations,passing through metal detector (govt svcs)
100401,Security procedures rel. to govt svcs/civic obligations,being searched at security checkpoint (govt svcs)
110101,Eating and drinking,taking a lunch break
110201,Waiting associated w/eating & drinking,waiting for the pizza delivery person
110201,Waiting associated w/eating & drinking,waiting for the check
110201,Waiting associated w/eating & drinking,waiting for food to be delivered
110201,Waiting associated w/eating & drinking,waiting to place an order
110201,Waiting associated w/eating & drinking,waiting for a table
120101,Socializing and communicating with others,entertaining family
120101,Socializing and communicating with others,hugging/kissing acquaintances/others
120101,Socializing and communicating with others,hanging out with family
120101,Socializing and communicating with others,greeting other parents
120101,Socializing and communicating with others,spending time with family
120101,Socializing and communicating with others,hugging/kissing neighbors
120101,Socializing and communicating with others,talking with family
120101,Socializing and communicating with others,giving gifts to friends
120101,Socializing and communicating with others,arguing with family
120101,Socializing and communicating with others,giving presents to adults
120101,Socializing and communicating with others,greeting family
120101,Socializing and communicating with others,opening birthday presents (with others)
120101,Socializing and communicating with others,hugging or kissing family
120101,Socializing and communicating with others,opening Christmas gifts (with others)
120101,Socializing and communicating with others,visiting with family
120101,Socializing and communicating with others,opening gifts (with others)
120101,Socializing and communicating with others,accompanying family while they run errands
120101,Socializing and communicating with others,opening wedding presents (with others)
120101,Socializing and communicating with others,entertaining friends
120101,Socializing and communicating with others,visiting household/nonhh adult in hospital
120101,Socializing and communicating with others,hanging out with friends
120101,Socializing and communicating with others,visiting adult in nursing home
120101,Socializing and communicating with others,spending time with friends
120101,Socializing and communicating with others,"accompanying family/friends to look at 
family/friend's new house"
120101,Socializing and communicating with others,talking with friends
120101,Socializing and communicating with others,talking with neighbors
120101,Socializing and communicating with others,arguing with friends
120101,Socializing and communicating with others,talking to/with other parents
120101,Socializing and communicating with others,greeting friends
120101,Socializing and communicating with others,talking with acquaintances
120101,Socializing and communicating with others,hugging/kissing friends
120101,Socializing and communicating with others,greeting neighbors/acquaintances
120101,Socializing and communicating with others,visiting with friends
120101,Socializing and communicating with others,accompanying friends while they run errands
120201,Attending or hosting parties/receptions/ceremonies,attending graduation ceremonies (for adults)
120201,Attending or hosting parties/receptions/ceremonies,attending birthday parties
120201,Attending or hosting parties/receptions/ceremonies,attending a charity social event
120201,Attending or hosting parties/receptions/ceremonies,attending bachelor/ette party
120201,Attending or hosting parties/receptions/ceremonies,attending receptions
120201,Attending or hosting parties/receptions/ceremonies,attending housewarming
120201,Attending or hosting parties/receptions/ceremonies,attending parties
120201,Attending or hosting parties/receptions/ceremonies,attending holiday open house
120202,Attending meetings for personal interest (not volunteering),attending a senior citizens meeting
120202,Attending meetings for personal interest (not volunteering),attending a Boy Scout/Girl Scout meeting (for self)
120202,Attending meetings for personal interest (not volunteering),attending an Al-anon meeting
120202,Attending meetings for personal interest (not volunteering),attending professional meetings (not work)
120202,Attending meetings for personal interest (not volunteering),attending a homeowner's association meeting
120202,Attending meetings for personal interest (not volunteering),attending fraternity/sorority meetings
120202,Attending meetings for personal interest (not volunteering),attending a fraternal lodge meeting
120202,Attending meetings for personal interest (not volunteering),attending book club meetings
120202,Attending meetings for personal interest (not volunteering),attending AA meetings
120202,Attending meetings for personal interest (not volunteering),attending club meetings (not school)
120202,Attending meetings for personal interest (not volunteering),attending a Weight Watchers meeting
120301,"Relaxing, thinking",doing nothing/goofing off/wasting time
120301,"Relaxing, thinking",sunbathing
120301,"Relaxing, thinking",hanging around/hanging out (alone)
120301,"Relaxing, thinking",grieving
120301,"Relaxing, thinking",sitting in the hot tub/Jacuzzi/whirlpool/sauna
120301,"Relaxing, thinking",worrying/crying
120301,"Relaxing, thinking","breaks at work, unspecified activity"
120301,"Relaxing, thinking",watching husband assemble lawnmower
120301,"Relaxing, thinking",watching wife garden/watching husband cook dinner
120301,"Relaxing, thinking",resting/relaxing/lounging
120301,"Relaxing, thinking",lying around/sitting around
120301,"Relaxing, thinking",reflecting/daydreaming/fantasizing/wondering
120302,Tobacco and drug use,smoking a cigarette/cigar/pipe
120302,Tobacco and drug use,smoking marijuana/pot/weed
120302,Tobacco and drug use,having a cigarette/rolling a cigarette
120302,Tobacco and drug use,chewing tobacco/using recreational drugs
120302,Tobacco and drug use,vaping
120303,Television and movies (not religious),watching TV or a DVD/video/instructional video
120303,Television and movies (not religious),watching home movies/home videos
120303,Television and movies (not religious),setting the VCR or DVD player
120303,Television and movies (not religious),borrowing movies from or returning movies to the library
120303,Television and movies (not religious),watching videos on YouTube
120303,Television and movies (not religious),watching TV/DVDs on computer (personal interest)
120303,Television and movies (not religious),setting TiVo/DVR
120303,Television and movies (not religious),streaming movies
120303,Television and movies (not religious),watching shows on Netflix/Hulu or similar technology
120304,Television (religious),watching religious broadcasting
120305,Listening to the radio,listening to public radio/a radio talk show
120305,Listening to the radio,listening to the top ten on the radio
120305,Listening to the radio,listening to podcast
120305,Listening to the radio,listening to Pandora
120305,Listening to the radio,listening to music on the radio
120305,Listening to the radio,listening to the news on Alexa or similar technology
120305,Listening to the radio,listening to a podcast on Amazon Echo or similar technology
120306,Listening to/playing music (not radio),listening to recorded music/records/CDs/DVDs/tapes
120306,Listening to/playing music (not radio),listening to someone play the piano
120306,Listening to/playing music (not radio),playing musical instrument (leisure)
120306,Listening to/playing music (not radio),composing music
120306,Listening to/playing music (not radio),singing/singing karaoke/Christmas caroling
120306,Listening to/playing music (not radio),tuning musical instruments
120307,Playing games,playing board games/Scrabble/cards
120307,Playing games,hitting a pinata
120307,Playing games,playing computer games/playing games over the Internet
120307,Playing games,spinning dreidels
120307,Playing games,hiding matzo (Passover)/hiding Easter eggs
120307,Playing games,working jigsaw puzzles/crossword puzzles
120307,Playing games,playing poker
120307,Playing games,playing bingo
120308,Computer use for leisure (exc. Games),"computer use, unspecified"
120308,Computer use for leisure (exc. Games),"computer use, leisure (personal interest)"
120308,Computer use for leisure (exc. Games),surfing the internet/web (personal interest)
120308,Computer use for leisure (exc. Games),browsing on the internet (personal interest)
120308,Computer use for leisure (exc. Games),"downloading files, music, pictures (personal interest)"
120308,Computer use for leisure (exc. Games),participating in a chat room (personal interest)
120308,Computer use for leisure (exc. Games),burning CDs (personal interest)
120308,Computer use for leisure (exc. Games),designing/updating website (personal interest)
120308,Computer use for leisure (exc. Games),Using Twitter or tweeting
120308,Computer use for leisure (exc. Games),checking Facebook/Instagram
120308,Computer use for leisure (exc. Games),writing computer software (personal interest)
120308,Computer use for leisure (exc. Games),computer programming (personal interest)
120308,Computer use for leisure (exc. Games),checking MySpace
120309,Arts and crafts as a hobby,"scrapbooking, making a scrapbook"
120309,Arts and crafts as a hobby,making Halloween costumes (for self)
120309,Arts and crafts as a hobby,making holiday/other decorations
120309,Arts and crafts as a hobby,dyeing Easter eggs
120309,Arts and crafts as a hobby,videotaping/photography/model making/jewelry making
120309,Arts and crafts as a hobby,artistic painting
120309,Arts and crafts as a hobby,making pottery/sculpting/wood working
120309,Arts and crafts as a hobby,making Christmas decorations
120309,Arts and crafts as a hobby,taking pictures/snapshots/photographs
120309,Arts and crafts as a hobby,sketching/drawing
120309,Arts and crafts as a hobby,making a TikTok video
120309,Arts and crafts as a hobby,making podcast
120310,Collecting as a hobby,collecting/organizing stamps or coin collection
120311,"Hobbies, except arts & crafts and collecting",bird watching
120311,"Hobbies, except arts & crafts and collecting",researching family tree
120312,Reading for personal interest,reading a magazine/book/newspaper (personal interest)
120312,Reading for personal interest,checking out library books
120312,Reading for personal interest,flipping/leafing through magazine (personal interest)
120312,Reading for personal interest,being read to (personal interest)
120312,Reading for personal interest,listening to books on tape/audio books (personal interest)
120312,Reading for personal interest,"reading, unspecified"
120312,Reading for personal interest,borrowing books from the library
120312,Reading for personal interest,returning library books/browsing at the library
120312,Reading for personal interest,doing research (personal interest)
120312,Reading for personal interest,reading a book on a Kindle or other electronic book reader (personal interest)
120313,Writing for personal interest,writing in diary/journal (personal interest)
120313,Writing for personal interest,writing stories (personal interest)
120313,Writing for personal interest,writing lyrics
120313,Writing for personal interest,editing (personal interest)
120313,Writing for personal interest,blogging (personal interest)
120399,Relaxing and leisure,looking at pictures in photo album
120399,Relaxing and leisure,looking at photos on computer or camera
120401,Attending performing arts,attending comedy club
120401,Attending performing arts,attending plays
120401,Attending performing arts,attending opera
120401,Attending performing arts,attending musicals
120401,Attending performing arts,attending a concert
120401,Attending performing arts,attending the theater
120401,Attending performing arts,attending the ballet
120401,Attending performing arts,attending jazz bar
120401,Attending performing arts,attending dance troupe performances
120402,Attending museums,attending an art gallery
120402,Attending museums,attending an arboretum
120402,Attending museums,visiting the zoo
120402,Attending museums,attending a botanical garden
120402,Attending museums,attending exhibitions
120403,Attending movies/film,attending the movies
120404,Attending gambling establishments,gambling
120404,Attending gambling establishments,playing craps
120404,Attending gambling establishments,attending a casino
120404,Attending gambling establishments,playing keno
120404,Attending gambling establishments,betting on the horses
120405,Security procedures rel. to arts & entertainment,"opening bags for security search 
(art/entertainment)"
120405,Security procedures rel. to arts & entertainment,"passing through metal detector 
(art/entertainment)"
120405,Security procedures rel. to arts & entertainment,being searched at security checkpoint (art/entertainment)
120499,Arts and entertainment,attending an art/history/music lecture
120499,Arts and entertainment,setting off fireworks
120499,Arts and entertainment,taking a guided nature walk
120499,Arts and entertainment,visiting historic sites
120499,Arts and entertainment,attending a flower show
120499,Arts and entertainment,attending the county fair
120499,Arts and entertainment,attending an amusement park
120499,Arts and entertainment,attending the circus
120499,Arts and entertainment,attending a festival
120499,Arts and entertainment,attending a carnival
120499,Arts and entertainment,attending a poetry reading
120499,Arts and entertainment,watching a parade/fireworks
120499,Arts and entertainment,attending a book signing
120499,Arts and entertainment,attending an auto show
120499,Arts and entertainment,sightseeing
120499,Arts and entertainment,participating in an escape room
130101,Doing aerobics,doing step aerobics
130101,Doing aerobics,doing low-impact aerobics
130101,Doing aerobics,doing high-impact aerobics
130101,Doing aerobics,talking to aerobics instructor
130101,Doing aerobics,Zumba
130102,Playing baseball,talking to baseball coach
130103,Playing basketball,talking to basketball referee
130104,Biking,registering for a bike race
130104,Biking,spinning
130104,Biking,riding a stationary bike
130104,Biking,biking/mountain biking
130105,Playing billiards,shooting pool
130105,Playing billiards,playing snooker
130106,Boating,sailing
130106,Boating,yachting
130106,Boating,kayaking
130106,Boating,rafting
130106,Boating,canoeing
130106,Boating,crewing
130107,Bowling,playing duck pins
130107,Bowling,playing ten pins
130108,"Climbing, spelunking, caving",rock climbing
130108,"Climbing, spelunking, caving",mountain climbing
130110,Participating in equestrian sports,horseback riding
130110,Participating in equestrian sports,playing polo
130110,Participating in equestrian sports,steeple chase
130112,Fishing,deep-sea fishing
130112,Fishing,ice fishing
130112,Fishing,fly fishing
130112,Fishing,crabbing
130112,Fishing,clam-digging
130112,Fishing,talking to the boat captain
130113,Playing football,playing touch football
130113,Playing football,talking to the football referee
130113,Playing football,playing flag football
130114,Golfing,playing the front 9
130114,Golfing,practicing putting
130114,Golfing,playing the back 9
130114,Golfing,talking to the caddy
130114,Golfing,hitting balls at the driving range
130115,Doing gymnastics,tumbling
130115,Doing gymnastics,using uneven bars
130115,Doing gymnastics,using the balance beam
130115,Doing gymnastics,using the pommel horse
130115,Doing gymnastics,using parallel bars
130115,Doing gymnastics,talking to the gymnastics coach
130117,Playing hockey,playing ice hockey
130117,Playing hockey,talking to the hockey coach
130117,Playing hockey,playing field hockey
130118,Hunting,hunting game
130118,Hunting,hunting ducks
130118,Hunting,hunting deer/elk
130118,Hunting,talking to the hunting guide
130119,Participating in martial arts,doing karate
130119,Participating in martial arts,talking to martial arts instructor
130119,Participating in martial arts,doing kickboxing
130119,Participating in martial arts,doing tae kwon do
130120,Playing racquet sports,playing tennis
130120,Playing racquet sports,playing badminton
130120,Playing racquet sports,playing squash
130120,Playing racquet sports,talking to the tennis coach
130120,Playing racquet sports,playing handball
130120,Playing racquet sports,playing lacrosse
130120,Playing racquet sports,playing racquetball
130121,Participating in rodeo competitions,calf roping
130121,Participating in rodeo competitions,barrel riding
130122,Rollerblading,roller-skating
130122,Rollerblading,skateboarding
130122,Rollerblading,inline skating
130124,Running,jogging
130124,Running,talking to race officials
130124,Running,running a marathon
130124,Running,running cross country
130124,Running,running a race/organized run
130124,Running,running on a treadmill
130125,"Skiing, ice skating, snowboarding",snow tubing
130125,"Skiing, ice skating, snowboarding",sledding
130127,Softball,playing wiffle ball
130128,Using cardiovascular equipment,using the Stairmaster
130128,Using cardiovascular equipment,exercising on the treadmill
130128,Using cardiovascular equipment,using the elliptical
130128,Using cardiovascular equipment,using the treadmill
130128,Using cardiovascular equipment,using the rowing machine
130129,Vehicle touring/racing,stock car racing
130129,Vehicle touring/racing,4-wheeling
130129,Vehicle touring/racing,drag racing
130129,Vehicle touring/racing,riding in a go-cart
130129,Vehicle touring/racing,doing motocross
130129,Vehicle touring/racing,riding in or driving a dune buggy
130129,Vehicle touring/racing,snowmobiling
130130,Playing volleyball,playing Wally ball
130131,Walking,walking on a treadmill
130131,Walking,speed walking
130131,Walking,power walking
130132,Participating in water sports,swimming
130132,Participating in water sports,river tubing
130132,Participating in water sports,playing water polo
130132,Participating in water sports,surfing
130132,Participating in water sports,diving
130132,Participating in water sports,body surfing
130132,Participating in water sports,waterskiing
130132,Participating in water sports,boogie-boarding
130132,Participating in water sports,snorkeling
130132,Participating in water sports,talking to the swimming coach
130132,Participating in water sports,scuba diving
130132,Participating in water sports,water aerobics
130133,Weightlifting/strength training,lifting weights
130133,Weightlifting/strength training,bodybuilding
130134,"Working out, unspecified",stretching
130134,"Working out, unspecified",doing cardio (unspecified)
130134,"Working out, unspecified",doing calisthenics
130134,"Working out, unspecified",doing Crossfit
130135,Wrestling,freestyle wrestling
130135,Wrestling,talking to the wrestling referee
130135,Wrestling,Greco-Roman wrestling
130136,Doing yoga,Pilates
130136,Doing yoga,talking to the yoga instructor
130199,Playing sports n.e.c.*,bungee jumping
130199,Playing sports n.e.c.*,ping-pong
130199,Playing sports n.e.c.*,cricket
130199,Playing sports n.e.c.*,table tennis
130199,Playing sports n.e.c.*,tai chi
130199,Playing sports n.e.c.*,horseshoes
130199,Playing sports n.e.c.*,paintball
130199,Playing sports n.e.c.*,croquet
130199,Playing sports n.e.c.*,baton twirling
130199,Playing sports n.e.c.*,archery
130199,Playing sports n.e.c.*,curling
130199,Playing sports n.e.c.*,skeet-shooting
130199,Playing sports n.e.c.*,cheerleading
130199,Playing sports n.e.c.*,target practice
130199,Playing sports n.e.c.*,footbag
130199,Playing sports n.e.c.*,throwing darts
130199,Playing sports n.e.c.*,setting up camping tent
130199,Playing sports n.e.c.*,boxing
130199,Playing sports n.e.c.*,starting a campfire
130199,Playing sports n.e.c.*,shooting league
130199,Playing sports n.e.c.*,digging a latrine
130199,Playing sports n.e.c.*,javelin
130199,Playing sports n.e.c.*,collecting firewood for camp
130199,Playing sports n.e.c.*,pole vaulting
130199,Playing sports n.e.c.*,playing in the snow
130199,Playing sports n.e.c.*,discus
130199,Playing sports n.e.c.*,ballooning
130199,Playing sports n.e.c.*,playing Frisbee golf
130199,Playing sports n.e.c.*,skydiving
130199,Playing sports n.e.c.*,throwing a Frisbee
130199,Playing sports n.e.c.*,windsurfing
130199,Playing sports n.e.c.*,hang-gliding
130199,Playing sports n.e.c.*,kite flying
130199,Playing sports n.e.c.*,playing ultimate frisbee
130199,Playing sports n.e.c.*,parkour
130199,Playing sports n.e.c.*,attending track practice
130204,Watching biking,watching a bicycle race
130205,Watching billiards,watching pool players
130205,Watching billiards,watching snooker players
130206,Watching boating,watching sailing
130206,Watching boating,watching yachting
130206,Watching boating,watching kayaking
130206,Watching boating,watching rafting
130206,Watching boating,watching canoeing
130206,Watching boating,watching crewing
130207,Watching bowling,watching ten pins
130207,Watching bowling,watching duck pins
130210,Watching equestrian sports,watching horseback riding
130210,Watching equestrian sports,watching polo game
130210,Watching equestrian sports,watching a steeple chase
130212,Watching fishing,watching deep-sea fishing
130212,Watching fishing,watching crabbing
130212,Watching fishing,watching fly fishing
130212,Watching fishing,watching clam-digging
130213,Watching football,watching touch football
130213,Watching football,watching tag football
130214,Watching golfing,watching a golf tournament
130215,Watching gymnastics,watching tumbling
130215,Watching gymnastics,watching parallel bar competition
130215,Watching gymnastics,watching balance beam completion
130216,Watching hockey,watching ice hockey
130216,Watching hockey,watching field hockey
130217,Watching martial arts,watching karate
130217,Watching martial arts,watching kickboxing
130218,Watching racquet sports,watching tennis
130218,Watching racquet sports,watching racquetball
130218,Watching racquet sports,watching squash
130218,Watching racquet sports,watching badminton
130218,Watching racquet sports,watching handball
130218,Watching racquet sports,watching lacrosse
130220,Watching rollerblading,watching roller-skating
130220,Watching rollerblading,watching skateboarding
130222,Watching running,watching a marathon
130222,Watching running,watching cross country running
130222,Watching running,watching a running race
130222,Watching running,watching an organized run
130223,"Watching skiing, ice skating, snowboarding",watching snow tubing
130225,Watching softball,watching wiffle ball
130226,Watching vehicle touring/racing,watching a stock car race
130226,Watching vehicle touring/racing,watching snowmobiling
130226,Watching vehicle touring/racing,watching a drag race
130226,Watching vehicle touring/racing,watching 4-wheeling
130226,Watching vehicle touring/racing,watching a motocross race
130227,Watching volleyball,watching Wally ball
130228,Watching walking,watching a walking sporting event
130229,Watching water sports,watching a swim/dive meet
130229,Watching water sports,watching water aerobics
130229,Watching water sports,watching a water polo match
130230,Watching weightlifting/strength training,watching weightlifting competition
130299,Attending sporting events,watching discus
130299,Attending sporting events,watching ping-pong
130299,Attending sporting events,watching hang-gliding
130299,Attending sporting events,watching croquet game
130299,Attending sporting events,watching ballooning
130299,Attending sporting events,watching archery
130299,Attending sporting events,watching skydiving
130299,Attending sporting events,watching skeet-shooting
130299,Attending sporting events,watching windsurfing
130299,Attending sporting events,watching dart playing
130299,Attending sporting events,watching bungee jumping
130299,Attending sporting events,watching boxing
130299,Attending sporting events,watching baton twirling
130299,Attending sporting events,watching javelin
130299,Attending sporting events,watching cheerleading
130299,Attending sporting events,watching pole vaulting
130401,Security related to playing sports or exercising,opening bags for security search (playing sports)
130401,Security related to playing sports or exercising,passing through metal detector (playing sports)
130401,Security related to playing sports or exercising,being searched at security checkpoint (playing sports)
130402,Security related to attending sporting events,opening bags for security search (attending sports)
130402,Security related to attending sporting events,passing through metal detector (attending sports)
130402,Security related to attending sporting events,being searched at security checkpoint (attending sports)
140101,Attending religious services,attending church services/synagogue/temple/mosque
140101,Attending religious services,leading blessings
140101,Attending religious services,"attending funerals/attending wakes, memorial services"
140101,Attending religious services,attending/participating in weddings
140101,Attending religious services,attending/hearing confession
140101,Attending religious services,attending church revival
140101,Attending religious services,attending a bar mitzvah/bat mitzvah/briss
140101,Attending religious services,attending a blessing
140101,Attending religious services,attending a baptism/christening
140101,Attending religious services,attending confirmation service
140101,Attending religious services,"watching religious services via Zoom/YouTube/Facebook-live/ Instagram, etc"
140102,Participation in religious practices,reading the Bible/Koran/Torah/Talmud/scriptures
140102,Participation in religious practices,lighting advent wreath
140102,Participation in religious practices,studying the Bible/Koran/sciptures
140102,Participation in religious practices,praying alone
140102,Participation in religious practices,ushering for religious services
140102,Participation in religious practices,saying prayers for a Seder
140102,Participation in religious practices,singing in the church choir
140102,Participation in religious practices,"leading church choir, musical groups"
140102,Participation in religious practices,visiting graves/putting flowers on graves
140102,Participation in religious practices,playing the church organ
140102,Participation in religious practices,rehearsing/decorating for religious ceremonies
140102,Participation in religious practices,participating in church musical performance
